,REFERENCIA IMAGENES,TIPO,PRODUCTO,MARCA,PRECIO,DESCRIPCION
79,monopatin-infantil-rainbow,Juguetes,Monopatín infantil Rainbow,RAINBOW,1.200,Material del monopatín de pie: aluminio. Altura máxima del manubrio: 87cm. Manubrio ajustable. Con sistema lean to steer. Con 4 ruedas de Silicona. Requiere ensamblado. Posee base antideslizante para una mayor seguridad. Con luces LED.
80,monopatin-nino-sebigus-spiderman,Juguetes,Monopatín niño Sebigus Spiderman,SEBIGUS,900,"Largo total de 60 cm y ancho total de 23 cm para un equilibrio óptimo. Altura total de 63 cm con manubrio ajustable de 55 a 63 cm. Peso máximo soportado de 35 kg para seguridad del usuario. Tres ruedas de diferentes tamaños: delanteras de 11 cm y traseras de 7 cm. Fabricado con fibra inyectada y PVC para mayor durabilidad. Requiere ensamblado cero, listo para usar al instante."
81,motosierra-desmalezadora-cortacerco-daihatsu,Herramientas,Motosierra desmalezadora cortacerco Daihatsu,DAIHATSU,4.200,"El poste extensible facilita alcanzar áreas difíciles, optimizando el corte en alturas sin esfuerzo. Diámetro de la cuchilla desmalezadora: 25.5 cm. Cuchilla cortacerco: 600 mm. Espada motosierra: 10” / 25.5 cm. Diámetro del corte con tanza: 600 mm. Potencia máxima: 1450 W."
82,motosierra-naftera-emtop,Herramientas,Motosierra Nafta EmTop,EMTOP,2.500,Potencia de 2.449 hp para cortes eficientes. Funciona con nafta para mayor autonomía. Ideal para trabajos de jardinería y poda.
83,notebook-exo-smart-T38,Notebooks,Notebook Exo Smart T38,EXO SMART,4.900,Modelo de la tarjeta gráfica integrada: 600. Linea de la tarjeta gráfica integrada: UHD. Modelo del procesador: N4020. Línea del procesador: Celeron. Marca del procesador: Intel. Versión del sistema operativo: 11. Edición del sistema operativo: Home. Nombre del sistema operativo: Windows. Capacidad de disco SSD: 128 GB. Capacidad total del módulo de memoria RAM: 4 GB. Con pantalla táctil: No. Resolución de la pantalla: 1366 px x 768 px. Conexión wifi y bluetooth. Incluye lector de tarjeta de memoria.
84,panchera-24-panchos-solreal,Pancheras,Panchera 24 panchos Solreal,SOL REAL,4.200,"Gabinete exterior acero inoxidable esmerilado. Tacho enlozado. 1 mechero, 1 robinete. Calienta pan y soporte salchichas de acero inoxidable. Tapa con bisagra de fácil acceso. Calorías: 1.000. Gabinete exterior acero inoxidable esmerilado."
85,panchera-solreal-12-panchos,Pancheras,Panchera Solreal 12 panchos,SOL REAL,3.000,"Tacho enlozado. 1 mechero, 1 robinete. Calienta pan y soporte salchichas de acero inoxidable. Kilocalorías/h: 1.500"
86,parlante-ken-brown-monster-box,Audio,Parlante Ken Brown Monster Box,KEN BROWN,4.600,"Voltaje: 220V. Potencia de salida de 200 W para un sonido potente y envolvente. Configuración de canales 2.1 para una experiencia auditiva equilibrada. Cuatro parlantes: dos woofers de 12"" y dos tweeters de 4. Modo karaoke para disfrutar de tus canciones favoritas. Incluye ruedas para fácil transporte de un lugar a otro. Pantalla incorporada para visualizar información de reproducción."
87,parlante-portatil-bluetooth-aiwa,Audio,Parlante portátil Bluetooth Aiwa,AIWA,7.200,Tipo de parlante: tweeter. Con conectividad bluetooth. Tiene luces led. Potencia de 80W. Cantidad de parlantes: 2. Personaje: Perro. Compañero de aventuras. Tiene forma de perro. Con múltiples funciones.
88,perro-robot-control-remoto,Juguetes,Perro robot control remoto,PERRO ROBOT,1.300,Personaje: Perro. Perro robot acrobático con control remoto para diversión interactiva. Funciones de luz y sonido que estimulan la creatividad.
89,picadora-carne-industrial,Procesadoras,Picadora de carne industrial,PICADORA,13.200,Voltaje: 220V. Permite procesar hasta 180 Kg por hora logrando una produccion continua ideal para entornos exigentes y profesionales. Motor de 900W y 1HP que brinda potencia constante mejorando la eficiencia en cada proceso de molienda intensiva. Incluye 2 discos de corte que permiten ajustar la textura de molienda segun el tipo de preparacion requerida. Cuchilla de acero CR13 que asegura cortes precisos uniformes y mejora la calidad final del producto procesado. Sistema con sinfin de tres vias que optimiza el flujo de carne mejorando el rendimiento general del equipo. Tolva amplia que facilita la carga de alimentos permitiendo un trabajo mas comodo rapido y eficiente. Incluye accesorio para embutido que amplía las funciones permitiendo elaborar diferentes productos caseros
90,ralladora-pan-industrial-10kg-Are,Ralladoras,Ralladora de pan industrial 10 kg Are,ARE,3.100,Voltaje: 220V. Potencia de 300 W con motor de 1/6 hp para un rendimiento optimal. Velocidad de rotación de 1800 rpm para un rallado rápido y uniforme. Capacidad de producción de hasta 11 kg/h.
91,ralladora-queso-industrial-Are,Ralladoras,Ralladora de queso industrial Are,ARE,4.600,"Ralla en hebras. Rallador de acero inoxidable. Zona de trabajo de aleación de aluminio. Carcasa de acero doble decapado, pintada y horneada. Se limpia sin sacar el rallador, solo quitando la tapa frontal. El queso se carga por el frente, sale por la parte inferior sin romper las hebras. Funciona con una leve presión del palo de empuje. Producción aproximada 9 kg/. Motor 1/4 HP. Dimensiones: 190 mm de frente, 310 mm de fondo, 200 mm de alt. Peso aproximado: 6 kg"
92,rollers-extensibles-ninos-gadnic,Juguetes,Rollers extensibles niños Gadnic,GADNIC,1.600,"Tipo de Roller: En linea o posibilidad de convertir en patin. Con frenos: Sí. Es ajustable: Sí. Edad: Niños. Cantidad de ruedas por patín: 4. Ruedas con Luces: Sí, las 4. Soporta Hasta 65kg. Chasis de Aluminio: Liviano y ultra Resistente Certificado Ftalatos. Respiración en la parte delantera y trasera. Ruedas intercambiables y este modelo ademas es extensible para poder usarlo por mas tiempo. Incluye bolso para transportarlos, de tela con cierre, tal cual se ve en la imagen. Incluye 1 freno por par. Peso aproximado por pie entre 700g/800g dependiendo el talle. SMALL con ruedas de 64mm. MEDIUM con ruedas de 70mm"
93,rollers-frozen,Juguetes,Rollers Frozen,FROZEN,1.300,Patines Extensibles Niña Frozen Intercambiable Roller + protecciones
94,secador-pelo-difusor-peabody,Secadores,Secador de pelo con difusor Peabody,PEABODY,500,Voltaje: 220V. Potencia de 1600 W para un secado rápido y eficiente. Función de aire frío para fijar peinados y reducir el frizz.
95,silla-gamer-alpina,Muebles,Silla gamer Alpina,ALPINA,2.600,Unidades por pack: 1. Material del tapizado: Cuero sintético. Cómodos apoyabrazos. Soporte lumbar regulable. Tiene apoya cabeza. Con ruedas. Peso máximo soportado: 150kg.
96,sopladora-aspiradora-belarra,Herramientas,Sopladora aspiradora Belarra,BELARRA,3.100,"Sopladora-aspiradora profesional para limpieza de jardín con gran potencia. Ideal para trabajos de mayor exigencia por su gran capacidad de tanque de nafta. Multifunciones: Modo aspiradora te permite succionar hojas y modo desechos. Combustible: mezcla de nafta y aceite SAE 10W30 O SAE 10W40 para máquinas de jardín. Motor: 2 Tiempos. Cilindrada: 26 Cc. Potencia: 0,75 Kw. Volumen de aire: 7,8 m3/min. Capacidad de succión: 6,8m3/ min. Capacidad del tanque: 650 Ml. Capacidad de la bolsa: 30 L. Arranque: manual. Boquilla sopladora: 5,3 cm de diámetro. Largo del brazo sopladora: 65 cm. Largo brazo aspirador: 50 cm desde el motor. Motor: Alto 25 cm - Ancho 30 cm. Peso: 4.940 kg"
97,tablet-edna-kids,Tablets,Tablet Edna Kids,EDNA,2.000,"Capacidad total del módulo de memoria RAM: 2 GB. Tamaño de la pantalla: 7 "". Capacidad: 32 GB.Sistema operativo: Android 12. Con procesador ARM Cortex-A7 de 1.3GHz. Resolución de pantalla de 1024px x 600px. Con lector micro-SD. Cuenta con GPS. Memoria interna expandible hasta 32 GB con fuente externa. Incluye cable USB-c, funda, film protector pantalla. Con entrada para auriculares. Pesa tan solo 290g. Diseñada para llevar a todas partes."
98,tablet-pritom-kids,Tablets,Tablet Pritom Kids,PRITOM,2.300,Dimensiones: 0.23 x 0.21 x 0.04mts. Peso del Producto: 0.92 Kilogramos. Peso de Envio: 0.92 Kilogramos. Modelo: K7
99,tablet-samsung-galaxy-tab-A11,Tablets,Tablet Samsung Galaxy Tab A11,SAMSUNG,3.500,"Capacidad total del módulo de memoria RAM: 4 GB.Tamaño de la pantalla: 8.7 "". Capacidad: 64 GB. Sistema operativo Android 15 para aplicaciones actuales. Dimensiones de pantalla de 19.05 cm de altura y 12.7 cm de ancho. Conectividad inalámbrica Wi-Fi para internet rápido. Bluetooth integrado para conexiones con dispositivos. Cámara frontal individual para videollamadas claras. Cámara trasera individual para capturar momentos."
100,televisor-50-pulgadas-4k-Uhd-Aoc,Televisores,Televisor 50 pulgadas 4K UHD AOC,AOC,5.000,"Cuenta con wi-fi y puerto de red. Posee 3 puertos HDMI. Equipado con conexión USB. Incluye control remoto. Dimensiones: 1.112m de ancho, 6.59m de alto y 8.71cm de profundidad."
101,televisor-enova-85-pulgadas,Televisores,Televisor Enova 85 pulgadas,ENOVA,33.400,Google Assistant incorporado. Cuenta con wi-fi y puerto de red. Posee 3 puertos HDMI. Equipado con conexión USB. Con conectividad mediante Bluetooth. Incluye control remoto.
102,televisor-phillips-55-pulgadas-ambilight,Televisores,Televisor Phillips 55 pulgadas Ambilight,PHILLIPS,8.700,"Cuenta con wif-fi. Posee 3 puertos HDMI. Equipado con conexión USB. Con conectividad mediante Bluetooth. Incluye control remoto. Dimensiones: 12.24m de ancho, 7.15m de alto y 2.8m de profundidad."
103,televisor-samsung-75-pulgadas-qled,Televisores,Televisor Samsung 75 pulgadas QLED,SAMSUNG,35.300,"Bixby incorporado. Cuenta con wif-fi. Posee 4 puertos HDMI. Equipado con conexión USB. Con conectividad mediante Bluetooth. Incluye control remoto. Dimensiones: 1.677m de ancho, 96cm de alto y 2.6cm de profundidad."
104,termoselladora-segva,Termoselladoras,Termoselladora Segva,SEGVA,1.900,Voltaje: 220V. Resistencia de 250 W para un rendimiento eficiente en el termosellado. Ancho máximo de rollo soportado de 45 cm para mayor versatilidad
105,termotanque-senorial-30lts-gas,Termotanques,Termotanque Señorial 30L gas,SEÑORIAL,3.700,Detector de monóxido de carbono. Compatible con gas natural y GLP. Válvula de seguridad para protección en el hogar. Protección anticorrosiva para mayor durabilidad. Eficiencia energetica clase B para ahorro en facturos. Capacidad de litros: 29.
106,vitrina-mostrador-fiambrera-160,Vitrinas,Vitrina mostrador fiambres 160,VITRINA,20.500,Voltaje: 220V. Capacidad de 350 litros. Orientación horizontal. Con 2 puertas. Tiene luz interior. Dimensiones: 1.6 m de ancho x 1 m de alto x 79cm de profundidad. Otorga protagonismo a tus productos refrigerados.
